cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,neutron-1-cosmosvalcons,neutron-1-address,stride-1-cosmosvalcons,stride-1-address
cosmosvaloper1z96p06tf6pqeca9gatv8h9hp83z2ng4l6erxj4,cosmos1z96p06tf6pqeca9gatv8h9hp83z2ng4lldhn7x,interchain.FM🥩,YDmfkE694oyAciDeNtO/wPyN/kCVA3wWsX/Lecr2E0A=,AD3983F9D94FC08BD56F73FFCE5A857D7437077D,cosmosvalcons145uc87weflqgh4t0w0luuk59046rwpma6p69sj,BOND_STATUS_BONDED,cosmosvalcons145uc87weflqgh4t0w0luuk59046rwpma6p69sj,AD3983F9D94FC08BD56F73FFCE5A857D7437077D,cosmosvalcons145uc87weflqgh4t0w0luuk59046rwpma6p69sj,AD3983F9D94FC08BD56F73FFCE5A857D7437077D
cosmosvaloper1zxphhzuweenrq3vvgsgj6g25axdpghtglg0veq,cosmos1zxphhzuweenrq3vvgsgj6g25axdpghtg6ume4n,X-Stake,10Zvr9A1E5Rf6x4ThXi5A1GLi9emXjp2tyIQ25IOpcU=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgpgs6l7,cosmos1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgyuy0nd,Kraken,Aum3ZbNR/pFXYLA5yeL4Zeyr6v1BFrjy6sABnvyWnjw=,6D701FA59532688DF16BAF9521137E8C14CBB316,cosmosvalcons1d4cplfv4xf5gmutt472jzym73s2vhvckjadcn2,BOND_STATUS_BONDED,cosmosvalcons1u2kpk89neppht54xfjpg0mlty0hyva96hpz034,E2AC1B1CB3C84375D2A64C8287EFEB23EE4674BA,cosmosvalcons1dvp3r9qq9lm2azzzcasewwvt5s94yzmztckuty,6B031194002FF6AE8842C76197398BA40B520B62
cosmosvaloper1zgw8kzwl9na7egn7l9u8d6e2vtf0tvs896relx,cosmos1zgw8kzwl9na7egn7l9u8d6e2vtf0tvs8qwhvn4,AgoraNodes,t+NDuEIEkevf7N7sD++Hlx0GRJp05Wq0w0ifYqyLSbU=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1zf37grr7nxffaacqfdyw5laeetnxm546aqz6uj,cosmos1zf37grr7nxffaacqfdyw5laeetnxm546c5k0sp,MyCosmosValidator,v6Emoa532mTaU2yhi4ojqqFNwIxL/KRDjl1R8lc/0nM=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1zdzerwr2jh2ngmlfvrn480yw6krxnyewls7v0j,cosmos1zdzerwr2jh2ngmlfvrn480yw6krxnyew6y2erp,Disperze,sTyXZ2KT3Su3r7XL/9RYlBWAIhxjjwh0rI6VK/oiEWU=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1zwrav6vq7a9g37vwt6nl8ra63hhc20emsmvyp5,cosmos1zwrav6vq7a9g37vwt6nl8ra63hhc20em40c3d8,Spacebot,GahSMcG2ovAlAd1ZYM0CflhXgoJ8W7UZF7bYG1aCUnE=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1zsxpuj84nwspn6q0qp4ec6tqdzqu400tdrj9my,cosmos1zsxpuj84nwspn6q0qp4ec6tqdzqu400tghxshh,DPOSelec,iDuI6ip/St7vMoT9wzsKjT6DsAZTkJhK5TGWSdG94+8=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1z3xngnvpyt33dlhrsmcz6pwd4fp47uem9545ed,cosmos1z3xngnvpyt33dlhrsmcz6pwd4fp47uemqqpp47,unicorn-ethermat-1,B4B3kw8I12F5CuJP5b9snJ0OH4FnE6tnFq/oRDOZ8KI=,,,BOND_STATUS_UNBONDED,,,,
cosmosvaloper1zk49r55txl9a7nttjcsqjrg5lus8hckkhgzez7,cosmos1zk49r55txl9a7nttjcsqjrg5lus8hckkjukvwd,BitStack-0,iHYfecYbFLFE367n7TbG9SfZtVnx8YAaDsO65Mj+/gY=,,,BOND_STATUS_UNBONDED,,,,
