Block 4421202
cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,pion-1-cosmosvalcons,pion-1-address
cosmosvaloper18eka2ye9lp4r6yts6gsk9xfg4wfsqugumwca3p,cosmos18eka2ye9lp4r6yts6gsk9xfg4wfsqugu76vgaj,Lilytest,ny4/UvZriuXBtp9uEehcV87TxgtzQ2H45MZzjrL2UPI=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper18m4tgtgtlaxjf4nudsxlt454vsxmyqh0x2yzcz,cosmos18m4tgtgtlaxjf4nudsxlt454vsxmyqh0r7sh53,StakingFacilities,k3UPpO5Sz+jsjnQbKA8CKLTMt/MzekBfhB9UJfWLi9c=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper18lz3nz3nyhtewm35npaccnc7javzmyvfake7j7,cosmos18lz3nz3nyhtewm35npaccnc7javzmyvfczdt7d,Citizen Cosmos,o8g1kTtaiCeKXxuRr2bGluU4SDad6hjaPKCSqPGmw6Q=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1gqrcl0enm2jhsjzgaft3zqvxn9ht4qavny64vc,cosmos1gqrcl0enm2jhsjzgaft3zqvxn9ht4qavkswqqt,cmh2,f1Q3CNXL8b/GP25xqvkN2NL6nafhP9sYLIzXB3ZKWpc=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1gphpnws0qeq4hlraknd6fshl0ewz8a5f7403qu,cosmos1gphpnws0qeq4hlraknd6fshl0ewz8a5fmpmyv0,DSRV,yjKCxj8Gq49YyR0OwkIA84NsRnZsQxzbSCi+KqcwaBQ=,76B9CA78AE2F849AE24C5DFF080FF196F0628610,cosmosvalcons1w6uu579w97zf4cjvthlssrl3jmcx9pssx6q729,BOND_STATUS_BONDED,cosmosvalcons1c2etn3ysxcug7sm68px48rsdycj5q6yqg63h0m,C2B2B9C49036388F437A384D538E0D2625406880
cosmosvaloper1geg9ujtstt5wjt7z7m58cze43y3d253wy3m2qs,cosmos1geg9ujtstt5wjt7z7m58cze43y3d253wp90lvr,Silk Nodes,L8S1/fzYyGO7EXjrBhllib39RRm9UKti9V7PpWl8qQQ=,204146B5ABEF543E867D39D40238CA864BE16007,cosmosvalcons1ypq5dddtaa2rapna882qywx2se97zcq8t2ffza,BOND_STATUS_BONDED,cosmosvalcons1ypq5dddtaa2rapna882qywx2se97zcq8t2ffza,204146B5ABEF543E867D39D40238CA864BE16007
cosmosvaloper1g6t5qsyw0xf7xezzkklmnlnmjwga4lmdepusfd,cosmos1g6t5qsyw0xf7xezzkklmnlnmjwga4lmdu4g997,PR-Testnet,uA6ZZlj/VH5miYZtUaPOM8mBtZfzslMdLZyheTZbTlY=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1frdpmsqpqazm5a2y52uwasdt5vr9pntemu8as3,cosmos1frdpmsqpqazm5a2y52uwasdt5vr9pnte7gnguz,Stake&Relax 🦥,u6DhjEs90wiHAFGo1bhTxI+nZHialVuA+GT3XmBPCt8=,E62B06E4963B1D3DCEDE50D56B17628134F93E18,cosmosvalcons1uc4sdeyk8vwnmnk72r2kk9mzsy60j0scz7kk3z,BOND_STATUS_BONDED,cosmosvalcons18mkehlk8kk4u85ruxda54k60r02l6skjlwegca,3EED9BFEC7B5ABC3D07C337B4ADB4F1BD5FD42D2
cosmosvaloper1frw8xefukzztn9a8dc46pn9au39r5tlmd9jpa5,cosmos1frw8xefukzztn9a8dc46pn9au39r5tlmg3x538,Kintsugi Nodes,je1SxFkQ7PDF2Dvm+ePsU8Hu+6eFz0CI7vUz7xEy8po=,A5CDDE8D3FCB6754C651409A04801A87AECBD092,cosmosvalcons15hxaarfledn4f3j3gzdqfqq6s7hvh5yjnk9hmk,BOND_STATUS_BONDED,cosmosvalcons15hxaarfledn4f3j3gzdqfqq6s7hvh5yjnk9hmk,A5CDDE8D3FCB6754C651409A04801A87AECBD092
cosmosvaloper1f5s56lcq46zat27v8l484958es5wrr8sx06tm9,cosmos1f5s56lcq46zat27v8l484958es5wrr8srmw7hk,coinhall.org 📈🔄,uz8FRj+MrmoKO9RuOYRVGaRp1AXIrxshfjEbVBt8lOw=,5131E54ECB1E83EDB293C4D3F18E09AE8EBC9DC0,cosmosvalcons12yc72nktr6p7mv5ncnflrrsf468te8wqqf9gvp,BOND_STATUS_BONDED,cosmosvalcons12yc72nktr6p7mv5ncnflrrsf468te8wqqf9gvp,5131E54ECB1E83EDB293C4D3F18E09AE8EBC9DC0
cosmosvaloper1fu4njsf8mw82nuwlvffhrpx5xy46p4l2te9k56,cosmos1fu4njsf8mw82nuwlvffhrpx5xy46p4l2wd3rcf,cudt,MiudDjMgtxqhfwSstKLchcQA6Tsc/H1S+E078JB4Es4=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1fazu0m0tnuwa23dwlcqju4z6p5r2yxrt599lg8,cosmos1fazu0m0tnuwa23dwlcqju4z6p5r2yxrt3332y5,0base.vc,t0Yoals7uv2cJJugTF8e1f/2pA/vasY37LbBG79n2xY=,B31581E9FF571045531370E2D4895A2D6FEDECFB,cosmosvalcons1kv2cr60l2ugy25cnwr3dfz2694h7mm8muyensh,BOND_STATUS_BONDED,cosmosvalcons1kv2cr60l2ugy25cnwr3dfz2694h7mm8muyensh,B31581E9FF571045531370E2D4895A2D6FEDECFB
cosmosvaloper1fl0x232wy5hhjzy5lfa0etc7h4w7ccqlw5gh8p,cosmos1fl0x232wy5hhjzy5lfa0etc7h4w7ccqltquztj,CrowdControl,0Riufmw0gHUn3TnmhfFMMxHelvosJi5NY4Ad06r4XiE=,5BF8DEB9F40D31CF7C5F6BDFEBABF74B0A280884,cosmosvalcons1t0udaw05p5cu7lzld007h2lhfv9zszyy60hv59,BOND_STATUS_BONDED,cosmosvalcons1t0udaw05p5cu7lzld007h2lhfv9zszyy60hv59,5BF8DEB9F40D31CF7C5F6BDFEBABF74B0A280884
